,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Mesor_mean_Z,0.13125947806518806,0.2971830657960294,0.23680340201099057,0.2844182091205937,-0.038507084098400216,0.1620582903010925,-0.1947588241627489,0.17164493910891598,-0.23434948825305477,-0.16210373503807324,-0.12054248358817737,-0.05814855107643228,0.41706413116700314,-0.43413631147108356,-0.11725398776736576,0.3905175670616053,-0.04447621044548581
Mesor_sd_Z,0.1820065295464118,0.3113534826940162,0.384509266474063,0.2998228772764126,-0.02216883324850623,0.24835253568107604,-0.2525532226003299,-0.2809919715768389,0.49271156338562866,0.10874113487032615,-0.04504658042192741,0.28714237704933165,-0.10320704550252968,0.16298113023843613,0.17874238793567537,-0.11388623970676388,0.036673585762338076
Amp_mean_Z,0.19649059067021313,0.1654057269999592,0.2581457679874472,0.254034261302475,-0.038786448215588055,0.08795531200513883,-0.017493899216550802,0.1824979977620081,-0.4001272287619257,-0.26160841051503814,0.21245393473276816,-0.3323050188755751,-0.4057711489471737,0.36893922961929787,-0.1647009803410431,-0.14299424931862073,0.007998569691234343
Amp_sd_Z,0.16505586664668287,0.12487618794497138,0.30109864090464866,0.1401640386143664,0.09821894603550028,-0.21752690319641957,0.808877776457493,-0.13398335337517744,-0.10938958706024104,0.02323686536174202,0.08662194079481687,0.14860496525507072,0.1571198856297962,-0.10415423730677188,0.12278832630942052,-0.09756298734661667,0.06402623328188721
Phase_mean_Z,0.03541116176954666,-0.18956435544387643,0.16976001512895897,-0.1497946779858104,0.2855337908782753,0.5407957538760692,0.06023849296045037,0.129950415028828,-0.07775556285518068,0.14393145738923682,-0.18603592648650177,-0.3696337886987729,0.17570513297282364,-0.027108696770142184,0.3801640675927823,-0.3232238381373673,-0.0861603673721383
Phase_sd_Z,-0.17623342613288034,0.24400524682155084,-0.0704148325662211,0.32208675465400727,-0.15175281945708,-0.506953189386799,-0.11015688257089029,0.3732238757829968,0.16207458575714495,0.19079648083408343,-0.03437462268599095,-0.28510793344851115,0.06566008351541984,-0.05163066110751419,0.30218075275225104,-0.2977383968882008,-0.08659073323583219
total_sleep_mean_Z,0.20690187048150344,-0.16397134793444398,-0.05230046085356485,0.06005996280893417,-0.1290520577295478,-0.03402676492126289,-0.0018050950959180572,-0.04095821083187119,0.038771706874186095,-0.13178182339255962,0.011210278257491024,-0.015769753896543247,-0.03138172597775678,-0.05474812171692479,0.17135940003940134,0.17306059100619253,-0.04421205860729559
day_sleep_mean_Z,0.28257726616539774,0.31785927091849897,-0.27390313200691135,-0.18241893474782384,-0.056051614889245815,-0.047710958015801844,0.022325594631398864,-0.008867913089231289,-0.04233471813122116,-0.1426819798068203,-0.3296458139879386,0.017940346850002925,0.4506401364133022,0.543678881816575,-0.08996981534073493,-0.05181487904324628,-0.06567411917358305
night_sleep_mean_Z,0.18348970536382928,-0.21418770690128627,-0.020682577023269814,0.08682973040795285,-0.12970617233478765,-0.030019204787308063,-0.004747525845039865,-0.042298223178205585,0.046479199015106776,-0.1216043516233624,0.05372675879440899,-0.018996215751481277,-0.09047018932568335,-0.12705252193540498,0.1930947052998506,0.19005533354578205,-0.452011449744264
total_bouts_mean_Z,0.16560099357602776,-0.0648494145793774,0.2375389803670303,-0.2547650293474682,0.0079732631911428,-0.173314237918675,-0.07834645601715962,0.06195252231930267,0.1302824079670954,-0.053268830580212666,0.06315509941749597,-0.13480174705232567,-0.03420542091762587,0.024031615524472347,-0.023608525861679185,0.11116506981121448,0.5153847009420647
day_bouts_mean_Z,0.1139719324260836,0.09807787278923007,0.01939343726088608,-0.2587839125884923,0.10947493150013124,0.033198079743331076,0.039041273593626205,0.6171346082749226,0.08554269357869657,-0.33632569757690467,-0.03514063348130906,0.46177609392777547,-0.2306025955804359,-0.038039774030263186,0.23670753560816044,0.0014871779579251447,-0.06205362367614917
night_bouts_mean_Z,0.16164782052548218,-0.10683398778864121,0.2758218830403772,-0.22322852328832404,-0.02393783719044687,-0.21568960741465892,-0.10483365084487994,-0.1147732715343989,0.12842969524303144,0.03941363339094752,0.08562577908620811,-0.30074630948175857,0.029773953969497877,0.040106974325264964,-0.10020758806326248,0.13139584245373967,-0.1081139468296513
mean_bout_mean_Z,0.18298214909625435,-0.23991399529114105,-0.14765805549817515,0.19697284714455873,-0.1228680609202748,0.03801959282928191,-0.09970185212675227,0.06809120651471877,-0.02318179396840821,-0.10531839025458713,0.004933579811691904,0.03128884907761327,0.1723041769943274,-0.12825869662544884,0.013445164338866937,-0.2987764609968376,0.16731142487819914
max_bout_mean_Z,0.20673169047835846,-0.18722420329772854,-0.12938143283944598,0.1518056134339263,-0.14747964799645766,-0.017764554417078776,0.04392080516504587,-0.093247826223764,-0.01744587707248163,-0.07534876570678668,0.0026374686142042526,-0.052829840726395814,0.022595270830498143,0.20268763107032683,0.3093735763939504,0.18858022066358157,-0.05315950421679706
mean_day_bout_mean_Z,0.38895516131148,0.16456932392570545,-0.2595381392973659,-0.08449140350418816,0.002093496109961595,0.19902586021269933,0.060094494775400346,0.2363093024667004,0.17378021999381382,0.4130489974148906,0.6218112809696019,-0.03698861564402875,0.13592652422694537,-0.047760342384947224,-0.1415226170874357,0.026298931473791837,-0.05185770052138871
max_day_bout_mean_Z,0.32465567008494195,0.3753740864247782,-0.336429057044417,-0.15273947272008917,-0.0709605399694688,0.024601080261637483,0.009848883224828766,-0.27612581610396175,-0.17556966319853196,0.08631850626046206,-0.2332718310233983,-0.1422036614080661,-0.4486957247231683,-0.3734731756732685,0.14378683058507505,-0.06908765141683039,0.07712998681230879
mean_night_bout_mean_Z,0.14622954723973258,-0.21487092377043743,-0.1110336635067787,0.16954991249108542,-0.09731666389204728,0.03844299323648928,-0.07648351054269027,0.08169161198983088,-0.010737367013736746,-0.09559010831524738,0.020567306738555727,0.0517979486944819,0.0906612471214048,-0.10361086763543824,0.04413614341416651,-0.08631894063418002,0.5548119553593562
max_night_bout_mean_Z,0.1771403635210007,-0.2340523080307122,-0.09117989777282627,0.16274909703393756,-0.1342688480501496,-0.004973130440617315,0.049355919001017864,-0.0440669005939451,0.008184950389800784,-0.04909767110733648,0.06971092357205595,-0.009163676683413662,0.012452133609245469,0.18736257122493238,0.25511582671760624,0.1334519143581663,0.004387932149133874
frag_bouts_per_hour_mean_Z,0.1665878215282711,-0.06429356932963982,0.24000940265508286,-0.257477261343937,0.008771427949768219,-0.17741180190195027,-0.08430909529685034,0.06955598026414977,0.13831525248276455,-0.06885495266127292,0.037455836977709114,-0.11021378613357485,0.02143450946370668,-0.07557003843245373,-0.023993260508390776,-0.024384496261232475,-0.1800723632949873
frag_bouts_per_min_sleep_mean_Z,-0.21419091618412506,0.1671836662445749,0.019047887679619093,-0.1966392635760979,-0.2552738060413855,0.07788504651166926,-0.06139527015640677,-0.18044375554915743,-0.09624762140430036,-0.24797942896038458,0.345110804837082,0.010965340954084335,0.13946198570747662,-0.0439218088760638,0.21460814211946297,-0.10121558482966753,-0.1193649578687641
mean_wake_bout_mean_Z,-0.18623104348637015,0.08727707129408106,-0.15357682601973024,0.08525508413434281,-0.20782345523448909,0.28962985286409626,0.38929256790795036,0.09442795700002354,0.5522183326353453,-0.3468619838035473,-0.0878337043434246,-0.36505434197638464,-0.08440288098302437,-0.05527570654448308,-0.20383538237576668,0.10368725316077212,0.042872895289950835
P_wake_mean_Z,-0.21510550938188774,0.16937760979836863,0.017920061713498935,-0.1947424879125572,-0.25183635256414905,0.07940362759371422,-0.06810988918280764,-0.17413359610261492,-0.09978646807073986,-0.24675351366325537,0.34197014306975665,0.012207166343360578,0.15031839124900798,-0.030540674871029024,0.23228006592558212,-0.1519110245042841,0.13361029914907652
P_doze_mean_Z,0.23416305098063592,0.02240433651829681,0.1103051780994006,-0.23671935560912913,-0.04338255449107599,-0.17785941978680556,-0.031165862724965167,-0.07030447040329055,0.16478586043271104,-0.17371205970857156,-0.14822902217604975,-0.1520341760699402,0.10809155403618419,-0.1696447946191736,0.04674539729597952,-0.17234410764812902,0.03435751758659696
sleep_latency_mean_Z,-0.10316221337079859,0.19005211086971563,-0.18891474329320926,0.0763804825419354,0.6512696614853365,-0.10682794123496317,-0.07349646765639781,-0.09058094121248086,0.07973798415660893,-0.17044564164260428,0.1779280082014675,-0.20132299480240806,0.030595827858368778,0.08033346147458476,0.33054175494918003,0.340930996106701,0.16750687826312027
WASO_mean_Z,-0.1512754316296374,0.10352269739719999,0.15644883099006815,-0.18208732031545316,-0.4071872026203965,0.10624232919547545,0.10702787103005815,0.19725746628565105,-0.11329008121298559,0.39082008556391734,-0.16001122675559137,-0.059164932016931744,-0.05271652130407202,0.1556975179010261,0.2787138577635286,0.40853286904281094,0.20725226068170471
